id,sex,observed_on,quality_grade,url,image_url,description,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_county_name,place_state_name,scientific_name,common_name
14231512,m,2018-07-10,research,https://www.inaturalist.org/observations/14231512,https://static.inaturalist.org/photos/21117513/medium.jpg,,"293 Chapman Rd, Montreat, NC, US",35.64252783,-82.29957162,5,,,,5,,,FALSE,,,Buncombe,North Carolina,Speyeria diana,Diana Fritillary
14240571,m,2018-06-16,research,https://www.inaturalist.org/observations/14240571,https://static.inaturalist.org/photos/21133298/medium.jpg,,"North Carolina, US",35.4431827,-82.69124007,43,,,,28677,obscured,,TRUE,,,Henderson,North Carolina,Speyeria diana,Diana Fritillary
14342971,m,2018-07-13,research,https://www.inaturalist.org/observations/14342971,https://static.inaturalist.org/photos/21313632/medium.jpg,,"North Carolina, US",35.54194213,-82.65309562,48,,,,28677,obscured,,TRUE,,,Henderson,North Carolina,Speyeria diana,Diana Fritillary
14401772,f,2018-07-15,research,https://www.inaturalist.org/observations/14401772,https://static.inaturalist.org/photos/21420727/medium.jpg,Female Diana Fritillart,"North Carolina, US",35.47923486,-82.7307155,107,,,,28677,obscured,,TRUE,,,Henderson,North Carolina,Speyeria diana,Diana Fritillary
14487214,m,2018-07-18,research,https://www.inaturalist.org/observations/14487214,https://static.inaturalist.org/photos/21566221/medium.jpeg,,"150 Civitan Camp Rd, Cleveland, SC 29635, USA",35.07845688,-82.57395935,,,,,,,,FALSE,gps,gps,Greenville,South Carolina,Speyeria diana,Diana Fritillary
14628844,m,2018-07-22,research,https://www.inaturalist.org/observations/14628844,https://static.inaturalist.org/photos/21814752/medium.jpg,Male,"Pisgah National Forest, Burnsville, NC, US",35.74855604,-82.33396454,25,,,,25,,,FALSE,,,Yancey,North Carolina,Speyeria diana,Diana Fritillary
14733612,m,2018-07-24,research,https://www.inaturalist.org/observations/14733612,https://static.inaturalist.org/photos/21979043/medium.jpg,Flying forest road. Noticed while mountain biking,"Pisgah National Forest, Candler, NC, US",35.50442167,-82.62722,5,,,,5,,,FALSE,,,Buncombe,North Carolina,Speyeria diana,Diana Fritillary
14797474,m,2018-07-27,research,https://www.inaturalist.org/observations/14797474,https://inaturalist-open-data.s3.amazonaws.com/photos/22086882/medium.jpeg,,,,,10,,,,28620,private,,TRUE,,,,,Speyeria diana,Diana Fritillary
15172885,m,2018-08-03,research,https://www.inaturalist.org/observations/15172885,https://static.inaturalist.org/photos/22689205/medium.jpg,,"North Carolina, US",35.500166,-82.75673403,49,,,,28677,obscured,,TRUE,,,Henderson,North Carolina,Speyeria diana,Diana Fritillary
15996303,m,2017-06-29,research,https://www.inaturalist.org/observations/15996303,https://static.inaturalist.org/photos/23953410/medium.jpeg,,"Leslie County, KY, USA",36.90577484,-83.45488145,89,,,,89,,,FALSE,,,Leslie,Kentucky,Speyeria diana,Diana Fritillary
